coin,snapshot height,balance
BTC(ALL),-,20914.70
BTC,951871,8683.53
BTC-TRC20,83191458,10422.90
jWBTC-TRC20,83191458,89.00
ThirdParty,_,1719.27
DOGE(All),-,454163535.64
DOGE,6229557,454163535.64
ETH(All),-,109573.31
ETH,25216406,4006.56
stETH,0x6663613fbd927ce78abbf7f5ca7e2c3fe0d96d18,25216406,29045.65,-,-
stETH,0x30741289523c2e4d2a62c7d6722686d14e723851,25216406,5.37,King will be back!,0xd81825f030667d07ed9574e13a93d0dc665c0dd87906e80ed99961569ae064a87268ae621d539f037193bde3ad03a99d6e233e733b59cd79ca7c9d08c12a97a601
HTX-ERC20,0x18709e89bd403f470088abdacebe86cc60dda12e,25216406,386057650000.00,huobi,0x68a79a40adfb16777e49206d60f9cd11de0fbaf3acad5be1e30dd955182475f43255dfec5fede4dc97fcf1fbce1583dd05ee419bf3939ca95919aff931eec41d01
HTX-ERC20,0xa03400e098f4421b34a3a44a1b4e571419517687,25216406,15584515835.59,King will be back!,0xc24e6ba40bb68f98b4bfcf653e3557f7accde2c539937f2f865eda96c9d48688481d49e38bc31d0450d164eac66cb3c5e0bfd9e472684bfb3d9bc3ea3a3bc82a01
HTX-ERC20,0x4fb312915b779b1339388e14b6d079741ca83128,25216406,632939341638.00,-,-
ETH,0xef72CC0Bb3EE2236b3B875C66a8A5D06b53Adb99,-,-,htx,0xc91377206d5903eff7c725d0ab54ed1a652110581e449c5ccc7f4f5bb991af80228ae4a95f448bb18a6ac78e850334daa495930b85375f3d6ab606ac0146d8b61b
ETH,0x406ea8F3C6464171f3dEccF6Ba99748D9487CD52,-,-,htx,0x3ba1542404430b5818a403ab451e4ee2299a0b9e8c2d71f178edf0e2c4df222a77ac3dd16011369cc395063da048e975620ddc6e511f762ad639640ca8d4fac31c
ETH,0x3f95d25BfB08e6cF5bA3e159e477D28852BA3F04,-,-,htx,0xc766bb36b671096e668bd902515eecef9939bcd99226bb668768f7d3a2cc5387339c98d0d8f21a3f3ec27024ccfeb5034d617a4d6021cab5538f061f198808d31b
ETH,0x9EC19cE75a7557d52c32774779158F5A466e0080,-,-,htx,0x0d929c70239b715b65f891088a5143e21449c36cab4243f71e5ce84317454c6605013fad579dc198c43798e2a9e7d575a9c39fc67689a2b4e38635e2e934ef661c
HTX-TRC20,TDToUxX8sH4z6moQpK3ZLAN24eupu2ivA4,83191458,234162952118135.81,huobi,8fa14929f7d46128d4b0b89fde15396ff1f322f516b10677c523d1e9b9b52a027f85234f880aacb806631d6f2102e5947408415f2d5531d81924215964c78c8c01
HTX-TRC20,TK86Qm97uM848dMk8G7xNbJB7zG1uW3h1n,83191458,271360000000.00,-,-
